CustomerID,Frequency,Monetary,RECENCY,Cluster
12749.0,199,4090.88,-4,1
12820.0,59,942.34,-3,3
12821.0,6,92.72,-214,2
12822.0,46,948.8800000000002,-71,3
12823.0,5,1759.5,-75,3
12824.0,25,397.11999999999995,-59,3
12826.0,91,1474.72,-3,0
12827.0,25,430.15,-6,3
12828.0,56,1018.71,-3,3
12829.0,11,293.0,-337,2
12830.0,38,6814.640000000001,-38,1
12831.0,9,215.05,-262,2
12832.0,27,383.03000000000003,-32,3
12833.0,24,417.38,-145,3
12834.0,18,312.38,-283,2
12836.0,175,2612.8599999999997,-59,0
12837.0,12,134.1,-173,2
12838.0,123,683.13,-34,0
12839.0,314,5591.42,-3,1
12840.0,113,2726.77,-144,0
12841.0,420,4022.35,-5,1
12842.0,34,1118.99,-70,3
12843.0,103,1702.2600000000002,-66,0
12844.0,52,325.96,-29,3
12845.0,27,354.09,-267,2
12847.0,91,871.5399999999998,-22,3
12849.0,51,1050.8899999999999,-31,3
12851.0,50,135.18,-97,3
12852.0,17,311.55,-295,2
12853.0,78,1957.1000000000004,-135,0
12854.0,110,1324.5000000000002,-79,0
12855.0,3,38.1,-373,2
12856.0,314,2179.93,-8,1
12857.0,46,1106.4,-211,2
12863.0,5,521.2,-52,3
12864.0,3,147.12,-138,3
12868.0,107,1607.0600000000002,-186,0
12871.0,11,380.64000000000004,-84,3
12872.0,66,599.9700000000001,-327,2
12873.0,4,374.0,-282,2
12875.0,2,343.2300000000001,-143,3
12877.0,154,1535.7700000000002,-4,0
12878.0,47,854.99,-236,2
12879.0,10,573.22,-45,3
12881.0,7,298.0,-276,2
12882.0,13,1463.0399999999997,-9,3
12883.0,42,703.47,-25,3
12884.0,7,309.05000000000007,-88,3
12885.0,71,1175.2199999999998,-63,3
12886.0,82,1378.3999999999999,-68,0
12888.0,5,354.12,-214,2
12890.0,82,380.47,-24,3
12891.0,3,331.0,-186,2
12893.0,34,188.14000000000001,-31,3
12895.0,22,372.8,-42,3
12897.0,4,216.5,-205,2
12902.0,10,138.67999999999998,-265,2
12904.0,72,509.58,-18,3
12906.0,63,2919.81,-12,0
12908.0,2,750.0,-176,2
12909.0,91,2178.67,-40,0
12910.0,75,3075.0400000000004,-23,0
12912.0,24,1662.3,-3,3
12913.0,50,2483.6299999999997,-5,0
12915.0,22,363.65,-149,3
12916.0,107,3006.1499999999996,-139,0
12917.0,2,594.0,-128,3
12919.0,50,1335.19,-8,3
12920.0,28,164.23000000000002,-17,3
12922.0,28,405.38,-161,2
12923.0,29,176.97,-64,3
12924.0,30,933.7000000000002,-88,3
12925.0,45,694.05,-5,3
12928.0,84,2062.7,-35,0
12929.0,8,117.85,-312,2
12930.0,25,415.8,-78,3
12933.0,106,607.53,-24,3
12936.0,62,1063.8999999999999,-17,3
12937.0,120,1504.2700000000002,-15,0
12938.0,9,114.13999999999999,-26,3
12940.0,99,913.54,-55,3
12942.0,75,683.9000000000001,-131,3
12944.0,30,604.5099999999999,-36,3
12945.0,23,462.95000000000005,-288,2
12947.0,97,1603.99,-144,0
12948.0,116,2064.95,-16,0
12949.0,215,4167.22,-31,1
12951.0,63,1064.07,-9,3
12952.0,79,1387.79,-6,0
12953.0,17,329.85,-10,3
12956.0,19,108.07,-306,2
12957.0,238,4017.54,-10,1
12962.0,16,266.39,-7,3
12963.0,95,1856.63,-8,0
12965.0,109,771.91,-89,3
12966.0,10,160.18,-10,3
12967.0,19,1660.9,-358,2
